timestamp,latitude,longitude,curvature
2125:09:04 12:48:25,45.949679,-66.7062006666667,> 175m (Straight/Broad)
2125:09:04 12:48:26,45.9495993333333,-66.7065921666667,> 175m (Straight/Broad)
2125:09:04 12:48:27,45.949511,-66.7069823333333,> 175m (Straight/Broad)
2125:09:04 12:48:28,45.9493618333333,-66.7075648333333,> 175m (Straight/Broad)
2125:09:04 12:48:29,45.9493076666667,-66.7077585,> 175m (Straight/Broad)
2125:09:04 12:48:30,45.9491931666667,-66.7081448333333,> 175m (Straight/Broad)
2125:09:04 12:48:31,45.9490691666667,-66.7085288333333,> 175m (Straight/Broad)
2125:09:04 12:48:32,45.9489351666667,-66.7089105,> 175m (Straight/Broad)
2125:09:04 12:48:33,45.9487916666667,-66.7092898333333,> 175m (Straight/Broad)
2125:09:04 12:48:34,45.9486368333333,-66.7096641666667,> 175m (Straight/Broad)
2125:09:04 12:48:35,45.9484673333333,-66.7100283333333,> 175m (Straight/Broad)
2125:09:04 12:48:36,45.9482875,-66.7103873333333,> 175m (Straight/Broad)
2125:09:04 12:48:37,45.9481031666667,-66.7107458333333,> 175m (Straight/Broad)
2125:09:04 12:48:38,45.9479136666667,-66.7111028333333,> 175m (Straight/Broad)
2125:09:04 12:48:39,45.9477163333333,-66.7114543333333,> 175m (Straight/Broad)
2125:09:04 12:48:40,45.947509,-66.7117971666667,> 175m (Straight/Broad)
2125:09:04 12:48:41,45.947293,-66.7121285,> 175m (Straight/Broad)
2125:09:04 12:48:42,45.9470713333333,-66.7124506666667,> 175m (Straight/Broad)
2125:09:04 12:48:43,45.9468436666667,-66.7127645,> 175m (Straight/Broad)
2125:09:04 12:48:44,45.9466085,-66.7130695,> 175m (Straight/Broad)
2125:09:04 12:48:45,45.9463643333333,-66.7133628333333,> 175m (Straight/Broad)
2125:09:04 12:48:46,45.9461103333333,-66.7136426666667,> 175m (Straight/Broad)
2125:09:04 12:48:47,45.945849,-66.7139125,> 175m (Straight/Broad)
2125:09:04 12:48:48,45.9455816666667,-66.7141745,> 175m (Straight/Broad)
2125:09:04 12:48:49,45.9453068333333,-66.7144266666667,> 175m (Straight/Broad)
2125:09:04 12:48:50,45.9450246666667,-66.7146676666667,> 175m (Straight/Broad)
2125:09:04 12:48:51,45.9447355,-66.7148955,> 175m (Straight/Broad)
2125:09:04 12:48:52,45.9444393333333,-66.7151106666667,> 175m (Straight/Broad)
2125:09:04 12:48:53,45.9439821666667,-66.7154065,> 175m (Straight/Broad)
2125:09:04 12:48:54,45.9438273333333,-66.7154985,> 175m (Straight/Broad)
2125:09:04 12:48:55,45.9435146666667,-66.7156758333333,> 175m (Straight/Broad)
2125:09:04 12:48:56,45.9432011666667,-66.7158505,> 175m (Straight/Broad)
2125:09:04 12:48:57,45.9428908333333,-66.7160246666667,> 175m (Straight/Broad)
2125:09:04 12:48:58,45.942584,-66.716199,> 175m (Straight/Broad)
2125:09:04 12:48:59,45.9422796666667,-66.716371,> 175m (Straight/Broad)
2125:09:04 12:49:00,45.941978,-66.7165383333333,> 175m (Straight/Broad)
2125:09:04 12:49:01,45.941679,-66.7167021666667,> 175m (Straight/Broad)
2125:09:04 12:49:02,45.9413825,-66.7168653333333,> 175m (Straight/Broad)
2125:09:04 12:49:03,45.9410895,-66.717035,> 175m (Straight/Broad)
2125:09:04 12:49:04,45.9408035,-66.7172176666667,> 175m (Straight/Broad)
2125:09:04 12:49:05,45.9405238333333,-66.717414,> 175m (Straight/Broad)
2125:09:04 12:49:06,45.940252,-66.717624,> 175m (Straight/Broad)
2125:09:04 12:49:07,45.9399883333333,-66.7178505,> 175m (Straight/Broad)
2125:09:04 12:49:08,45.9397303333333,-66.718092,> 175m (Straight/Broad)
2125:09:04 12:49:09,45.9394773333333,-66.7183498333333,> 175m (Straight/Broad)
2125:09:04 12:49:10,45.9392301666667,-66.7186215,> 175m (Straight/Broad)
2125:09:04 12:49:11,45.9388708333333,-66.7190523333333,> 175m (Straight/Broad)
2125:09:04 12:49:12,45.9387553333333,-66.7192038333333,> 175m (Straight/Broad)
2125:09:04 12:49:13,45.9385305,-66.7195175,> 175m (Straight/Broad)
2125:09:04 12:49:14,45.9383138333333,-66.7198431666667,> 175m (Straight/Broad)
2125:09:04 12:49:15,45.9381051666667,-66.7201793333333,> 175m (Straight/Broad)
2125:09:04 12:49:16,45.9379053333333,-66.7205265,> 175m (Straight/Broad)
2125:09:04 12:49:17,45.9377153333333,-66.7208836666667,> 175m (Straight/Broad)
2125:09:04 12:49:18,45.9375371666667,-66.721251,> 175m (Straight/Broad)
2125:09:04 12:49:19,45.9373723333333,-66.7216261666667,> 175m (Straight/Broad)
2125:09:04 12:49:20,45.937217,-66.7220055,> 175m (Straight/Broad)
2125:09:04 12:49:21,45.93707,-66.7223863333333,> 175m (Straight/Broad)
2125:09:04 12:49:22,45.9369356666667,-66.7227715,> 175m (Straight/Broad)
2125:09:04 12:49:23,45.9368145,-66.723161,> 175m (Straight/Broad)
2125:09:04 12:49:24,45.9367035,-66.723553,> 175m (Straight/Broad)
